Sample_ID,SOM_Row,SOM_Col,SOM_Cluster
MB-0360,5,19,5_19
MB-0361,12,0,12_0
MB-0362,12,17,12_17
MB-0363,11,12,11_12
MB-0364,16,17,16_17
MB-0365,17,11,17_11
MB-0366,0,17,0_17
MB-0367,7,11,7_11
MB-0368,1,5,1_5
MB-0369,0,4,0_4
MB-0370,4,5,4_5
MB-0371,4,3,4_3
MB-0372,19,2,19_2
MB-0373,11,5,11_5
MB-0374,1,7,1_7
MB-0375,11,6,11_6
MB-0377,16,15,16_15
MB-0378,10,0,10_0
MB-0379,16,17,16_17
MB-0380,8,5,8_5
MB-0381,13,6,13_6
MB-0382,9,10,9_10
MB-0383,0,6,0_6
MB-0384,2,16,2_16
MB-0385,3,5,3_5
MB-0386,9,8,9_8
MB-0388,5,2,5_2
MB-0389,13,19,13_19
MB-0390,19,11,19_11
MB-0391,18,12,18_12
MB-0392,3,4,3_4
MB-0393,9,1,9_1
MB-0394,1,8,1_8
MB-0395,12,7,12_7
MB-0396,19,7,19_7
MB-0397,16,13,16_13
MB-0398,9,0,9_0
MB-0399,16,12,16_12
MB-0400,16,0,16_0
MB-0401,17,0,17_0
MB-0402,16,14,16_14
MB-0404,1,15,1_15
MB-0405,1,13,1_13
MB-0406,8,17,8_17
MB-0408,0,13,0_13
MB-0410,14,16,14_16
MB-0411,9,7,9_7
MB-0412,10,6,10_6
MB-0413,4,10,4_10
MB-0414,19,6,19_6
MB-0417,14,17,14_17
MB-0418,4,3,4_3
MB-0419,6,0,6_0
MB-0420,17,1,17_1
MB-0421,10,3,10_3
MB-0422,9,19,9_19
MB-0423,18,14,18_14
MB-0424,19,15,19_15
MB-0425,10,19,10_19
MB-0426,0,17,0_17
MB-0427,5,6,5_6
MB-0428,3,1,3_1
MB-0429,0,4,0_4
MB-0431,1,14,1_14
MB-0432,19,14,19_14
MB-0434,4,0,4_0
MB-0436,11,7,11_7
MB-0437,0,11,0_11
MB-0438,15,12,15_12
MB-0439,2,13,2_13
MB-0440,0,8,0_8
MB-0442,17,15,17_15
MB-0443,15,14,15_14
MB-0444,6,9,6_9
MB-0445,5,7,5_7
MB-0446,15,0,15_0
MB-0448,0,14,0_14
MB-0449,13,16,13_16
MB-0451,2,19,2_19
MB-0452,10,1,10_1
MB-0453,12,7,12_7
MB-0454,1,12,1_12
MB-0455,9,4,9_4
MB-0458,17,16,17_16
MB-0459,9,6,9_6
MB-0460,18,14,18_14
MB-0462,17,11,17_11
MB-0463,9,17,9_17
MB-0464,16,6,16_6
MB-0465,11,3,11_3
MB-0466,0,7,0_7
MB-0467,11,0,11_0
MB-0468,2,6,2_6
MB-0469,9,6,9_6
MB-0471,2,8,2_8
MB-0472,0,9,0_9
MB-0474,10,7,10_7
MB-0475,4,2,4_2
MB-0476,19,13,19_13
MB-0478,18,14,18_14
MB-0479,10,4,10_4
MB-0480,7,0,7_0
MB-0481,16,2,16_2
MB-0482,19,10,19_10
MB-0483,5,6,5_6
MB-0484,15,7,15_7
MB-0485,9,2,9_2
MB-0486,12,17,12_17
MB-0487,14,17,14_17
MB-0489,19,12,19_12
MB-0490,1,9,1_9
MB-0491,6,0,6_0
MB-0494,16,11,16_11
MB-0495,19,15,19_15
MB-0496,14,17,14_17
MB-0497,3,8,3_8
MB-0499,19,14,19_14
MB-0500,19,0,19_0
MB-0501,0,15,0_15
MB-0502,19,14,19_14
MB-0503,5,9,5_9
MB-0504,14,16,14_16
MB-0505,16,15,16_15
MB-0506,9,0,9_0
MB-0507,1,15,1_15
MB-0508,6,9,6_9
MB-0509,9,9,9_9
MB-0510,4,5,4_5
MB-0511,10,18,10_18
MB-0512,5,0,5_0
MB-0513,0,13,0_13
MB-0514,9,15,9_15
MB-0516,17,6,17_6
MB-0517,5,7,5_7
MB-0519,7,5,7_5
MB-0521,8,9,8_9
MB-0524,7,6,7_6
MB-0525,16,7,16_7
MB-0526,3,7,3_7
MB-0527,18,13,18_13
MB-0528,8,5,8_5
MB-0529,3,13,3_13
MB-0532,6,0,6_0
MB-0534,16,14,16_14
MB-0535,3,17,3_17
MB-0536,8,5,8_5
MB-0538,4,5,4_5
MB-0539,18,12,18_12
MB-0540,19,13,19_13
MB-0541,5,6,5_6
MB-0542,6,8,6_8
MB-0543,0,14,0_14
MB-0544,1,14,1_14
MB-0545,8,5,8_5
MB-0546,18,13,18_13
MB-0549,0,13,0_13
MB-0550,5,0,5_0
MB-0553,0,14,0_14
MB-0554,9,19,9_19
MB-0559,5,7,5_7
MB-0564,19,11,19_11
MB-0568,15,15,15_15
MB-0569,2,5,2_5
MB-0570,12,8,12_8
MB-0571,7,19,7_19
MB-0573,0,1,0_1
MB-0574,9,2,9_2
MB-0575,6,8,6_8
MB-0576,6,1,6_1
MB-0577,0,13,0_13
MB-0578,16,14,16_14
MB-0579,14,15,14_15
MB-0580,9,0,9_0
MB-0581,16,2,16_2
MB-0582,18,5,18_5
MB-0583,5,19,5_19
MB-0584,0,15,0_15
MB-0585,10,7,10_7
MB-0586,2,11,2_11
MB-0587,10,5,10_5
MB-0588,14,17,14_17
MB-0589,0,16,0_16
MB-0590,6,5,6_5
MB-0591,13,19,13_19
MB-0592,0,12,0_12
MB-0593,8,11,8_11
MB-0594,2,8,2_8
MB-0596,5,1,5_1
MB-0597,16,15,16_15
MB-0598,5,1,5_1
MB-0599,18,16,18_16
MB-0600,0,0,0_0
MB-0601,7,7,7_7
MB-0603,14,15,14_15
MB-0605,10,15,10_15
MB-0606,1,13,1_13
MB-0607,15,11,15_11
MB-0608,17,3,17_3
MB-0609,2,16,2_16
MB-0610,6,6,6_6
MB-0611,16,11,16_11
MB-0613,16,12,16_12
MB-0614,5,8,5_8
MB-0616,3,6,3_6
MB-0617,19,15,19_15
MB-0618,14,14,14_14
MB-0619,5,7,5_7
MB-0621,11,14,11_14
MB-0623,15,16,15_16
MB-0624,15,15,15_15
MB-0626,9,3,9_3
MB-0627,16,11,16_11
MB-0628,4,5,4_5
MB-0630,0,7,0_7
MB-0631,12,18,12_18
MB-0632,15,16,15_16
MB-0634,18,14,18_14
MB-0635,19,14,19_14
MB-0636,9,8,9_8
MB-0637,10,5,10_5
MB-0638,15,15,15_15
MB-0639,17,6,17_6
MB-0640,14,16,14_16
MB-0641,18,14,18_14
MB-0642,2,19,2_19
MB-0643,15,8,15_8
MB-0644,14,17,14_17
MB-0646,12,16,12_16
MB-0649,6,0,6_0
MB-0650,2,7,2_7
MB-0652,10,2,10_2
MB-0653,7,1,7_1
MB-0654,2,19,2_19
MB-0655,15,14,15_14
MB-0656,15,6,15_6
MB-0657,9,11,9_11
MB-0658,19,6,19_6
MB-0659,0,12,0_12
MB-0660,15,3,15_3
MB-0661,0,11,0_11
MB-0662,11,3,11_3
MB-0663,14,7,14_7
MB-0664,19,5,19_5
MB-0666,5,1,5_1
MB-0667,0,14,0_14
MB-0869,17,1,17_1
MB-0874,15,0,15_0
MB-0877,8,2,8_2
MB-0880,13,15,13_15
MB-0882,9,5,9_5
MB-0884,8,2,8_2
MB-0891,5,19,5_19
MB-0893,19,14,19_14
MB-0895,12,5,12_5
MB-0897,17,17,17_17
MB-0899,5,19,5_19
MB-0901,15,0,15_0
MB-0904,5,19,5_19
MB-0906,16,11,16_11
MB-0907,18,12,18_12
MB-2513,11,0,11_0
MB-2517,11,0,11_0
MB-2536,6,19,6_19
MB-2556,19,15,19_15
MB-2564,10,16,10_16
MB-2610,1,19,1_19
MB-2613,6,4,6_4
MB-2614,18,18,18_18
MB-2616,8,8,8_8
MB-2617,11,10,11_10
MB-2618,0,6,0_6
MB-2624,9,17,9_17
MB-2626,5,2,5_2
MB-2629,2,8,2_8
MB-2632,14,0,14_0
MB-2634,1,5,1_5
MB-2642,6,3,6_3
MB-2643,19,15,19_15
MB-2645,11,6,11_6
MB-2669,8,9,8_9
MB-2686,5,4,5_4
MB-2705,2,19,2_19
MB-2708,10,7,10_7
MB-2711,0,16,0_16
MB-2718,19,2,19_2
MB-2721,16,18,16_18
MB-2725,6,8,6_8
MB-2728,6,3,6_3
MB-2730,14,4,14_4
MB-2735,17,18,17_18
MB-2742,13,0,13_0
MB-2745,16,19,16_19
MB-2747,2,16,2_16
MB-2749,5,19,5_19
MB-2750,0,16,0_16
MB-2752,2,8,2_8
MB-2753,19,7,19_7
MB-2754,8,11,8_11
MB-2758,18,17,18_17
MB-2760,13,15,13_15
MB-2763,6,19,6_19
MB-2764,18,14,18_14
MB-2765,13,18,13_18
MB-2767,7,9,7_9
MB-2769,7,12,7_12
MB-2771,16,0,16_0
MB-2772,7,8,7_8
MB-2774,5,1,5_1
